OBJECTID1 *,OBJECTID,Research_Group,Date,Year,Month,Vessel,Sighting,Sight_Type,Start_Time,LocDesc,Start_Lat,Start_Long,Start_Dec_Lat,Start_Dec_Long,Depth,D_units,Species,Est_Size_Min,Est_Size_Max,Est_Size_Best,Num_Calves,Group_Type,GEX__m_,GEY__m_,Group_Beh,DOT,Other_Beh_1,Other_Beh_2,Other_Beh_3,Photos_,Est_ID,Actual_ID,Photographer_1,Series_Number_1,Frames_1,Photographer_2,Series_Number_2,Frames_2,Photographer_3,Series_Number_3,Frames_3,Comments,SHAPE *
197,115,MAKAH,20-Sep-19,2019,9,RHIB,13,S,12/30/1899 10:35:00 AM,Skagway,N 48 22.02,W 124 43.87,48.367,-124.7311,51,ft,Er,<Null>,<Null>,2,,,<Null>,<Null>,Feeding,,,,,1,2,2,Elizabeth Allyn,20190920,20190920_LIZ_8000 - 20190920_LIZ_8108,Jonathan Scordino,20190920,20190920_JON_1492 - 20190920_JON_1591,,,,,Point
198,328,MAKAH,27-Jul-20,2020,7,RHIB,20,SBE,12/30/1899 11:20:00 AM,Bullman,N 48 21.63,W 124 32.24,48.3605,-124.5373,47,ft,Er,<Null>,<Null>,3,,,<Null>,<Null>,Feeding,,,,,1,3,<Null>,Jonathan Scordino,2020 Makah\20200727,20200727_JON_0165 - 20200727_JON_0373,,,,,,,"Pacman, feed",Point
199,317,MAKAH,26-Jul-20,2020,7,Optimistic,2,S,12/30/1899 9:58:00 AM,,N 48 22.13,W 124 33.90,48.3688,-124.565,23,ft,Er,3,4,3,,,<Null>,<Null>,,,,,,1,5,<Null>,Jonathan Scordino,2020 Makah\20200726,20200726_JON_0089 - 20200726_JON_0166,,,,,,,[Camera date/time off. Changed end frame from 0167 to 0166 -ED],Point
200,176,MAKAH,31-Oct-19,2019,10,RHIB,12,S,12/30/1899 11:53:00 AM,,N 48 23.38,W 124 42.32,48.3896,-124.7053,35,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,Feeding,,,,,1,1,1,Elizabeth Allyn,20191031,20191031_LIZ_2466 - 20191031_LIZ_2508,Jonathan Scordino,20191031,20191031_JON_5085 - 20191031_JON_5111,,,,CRC 204,Point
201,193,MAKAH,7-Nov-19,2019,11,RHIB,4,SBE,12/30/1899 8:55:00 AM,,N 48 23.60,W 124 39.08,48.3933,-124.6513,37,ft,Er,<Null>,<Null>,3,,,<Null>,<Null>,Travel,,,,,1,3,3,Elizabeth Allyn,20191107,20191107_LIZ_3388 - 20191107_LIZ_3506,Jonathan Scordino,20191107,20191107_JON_5711 - 20191107_JON_5792,,,,includes whale from sighting 2,Point
202,340,MAKAH,5-Aug-20,2020,8,RHIB,6,SBE,12/30/1899 2:44:00 PM,E Bullman,N 48 20.88,W 124 31.12,48.348,-124.5186,27,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,Travel,,,,,1,1,<Null>,Liliana Scordino,2020 Makah\20200805,20200805_LIZ_7039 - 20200805_LIZ_7077,Jonathan Scordino,2020 Makah\20200805,20200805_JON_1247 - 20200805_JON_1273,,,,,Point
203,324,MAKAH,27-Jul-20,2020,7,RHIB,15,SBE,12/30/1899 10:28:00 AM,Herda Cabin,N 48 21.97,W 124 33.70,48.3661,-124.5616,38,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,Feeding,,,,,1,1,<Null>,Jonathan Scordino,2020 Makah\20200727,20200727_JON_9954 - 20200727_JON_9990,,,,,,,,Point
204,338,MAKAH,5-Aug-20,2020,8,RHIB,1,SBE,12/30/1899 1:42:00 PM,3rd Beach,N 48 22.19,W 124 34.11,48.3698,-124.5685,26,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,Travel,,,,,1,1,<Null>,Jonathan Scordino,2020 Makah\20200805,20200805_JON_1087 - 20200805_JON_1156,Liliana Scordino,2020 Makah\20200805,20200805_LIZ_6804 - 20200805_LIZ_6933,,,,"travel, right only",Point
205,105,MAKAH,11-Sep-19,2019,9,RHIB,26,S,12/30/1899 1:40:00 PM,Guano Rock,N 48 10.97,W 124 44.48,48.1828,-124.7413,41,ft,Er,<Null>,<Null>,1,,,<Null>,<Null>,Feeding,,,,,1,1,1,Elizabeth Allyn,20190911,20190911_LIZ_7264 - 20190911_LIZ_7286,Jonathan Scordino,20190911,20190911_JON_0974 - 20190911_JON_1007,,,,"Feeding, focal follow. No scat",Point
206,151,MAKAH,10-Oct-19,2019,10,RHIB,10,S,12/30/1899 11:07:00 AM,,N 48 22.04,W 124 43.80,48.3673,-124.73,56,ft,Er,<Null>,<Null>,2,,,<Null>,<Null>,,,,,,1,2,2,Elizabeth Allyn,20191010,20191010_LIZ_0331 - 20191010_LIZ_0466,Jonathan Scordino,20191010,20191010_JON_3249 - 20191010_JON_3415,,,,,Point
